market,state,home_value,rent,gross_yield,net_yield,tax_share_of_rent,spread,dscr,score,passes,gate_fail
"Olean, NY",NY,155000,1240,0.096,0.04259973473465644,0.13541666666666666,-0.03340026526534356,0.6703686739209505,73.28129556844931,False,net yield 4.3% < 4.5%; eviction friction
"Decatur, IL",IL,120000,1120,0.112,0.041271979857443096,0.16785714285714284,-0.0347280201425569,0.6494745232443394,72.67253688027866,False,net yield 4.1% < 4.5%
"Kingsville, TX",TX,150000,1420,0.1136,0.03920021471701412,0.12323943661971831,-0.03679978528298588,0.6168722908944005,71.44500540168556,False,net yield 3.9% < 4.5%
"Ogdensburg, NY",NY,135000,1050,0.09333333333333334,0.04026571942540819,0.1392857142857143,-0.035734280574591805,0.6336395544201421,69.83885000613678,False,net yield 4.0% < 4.5%; eviction friction
"Danville, IL",IL,95000,850,0.10736842105263159,0.03659468609076886,0.17509803921568629,-0.03940531390923114,0.575870515157564,65.79348343735818,False,net yield 3.7% < 4.5%
"Abilene, TX",TX,205000,1770,0.10360975609756097,0.03524563757621144,0.13512241054613935,-0.040754362423788555,0.5546412781824531,65.40970400123555,False,net yield 3.5% < 4.5%
"Pittsburgh, PA",PA,234727,1523,0.0778606636645976,0.033969037953622876,0.1618275443204202,-0.04203096204637712,0.5345521297064542,65.09136705387152,False,net yield 3.4% < 4.5%
"Fort Polk South, LA",LA,160000,1230,0.09225,0.03069418594982854,0.05962059620596206,-0.04530581405017146,0.4830175788754376,61.856233226136325,False,net yield 3.1% < 4.5%
"Memphis, TN",TN,246954,1435,0.06972958526689181,0.02838581138460615,0.07457379790940766,-0.04761418861539385,0.44669195370805675,61.77829590620837,False,net yield 2.8% < 4.5%
"Big Spring, TX",TX,140000,1210,0.10371428571428572,0.031867800605562976,0.1349862258953168,-0.04413219939443702,0.5014861093806013,60.64592989793488,False,net yield 3.2% < 4.5%
"Toledo, OH",OH,204000,1302,0.07658823529411765,0.02868356821370073,0.17757296466973885,-0.04731643178629927,0.4513775897082417,59.53011698278675,False,net yield 2.9% < 4.5%
"Dayton, OH (calibration)",OH,221250,1400,0.0759322033898305,0.028549304587769806,0.17910714285714285,-0.047450695412230195,0.44926475662531856,59.28219141941501,False,net yield 2.9% < 4.5%
"Little Rock, AR",AR,218000,1250,0.06880733944954129,0.026691492637085777,0.08138666666666666,-0.04930850736291422,0.4200293883411739,59.127001090460205,False,net yield 2.7% < 4.5%
"Birmingham, AL",AL,263437,1462,0.06659656768031826,0.02594894136429443,0.05555841883264934,-0.05005105863570557,0.408344266000389,59.06126532435563,False,net yield 2.6% < 4.5%
"Muskogee, OK",OK,155000,1220,0.0944516129032258,0.02850663603931275,0.08364071038251368,-0.04749336396068725,0.4485933050675693,57.853933483356045,False,net yield 2.9% < 4.5%
"Enid, OK",OK,140000,1120,0.096,0.028409886745631253,0.08229166666666667,-0.047590113254368745,0.4470708144672867,57.76866309212232,False,net yield 2.8% < 4.5%
"Indianapolis, IN",IN,296207,1558,0.0631180221939387,0.02382054334032613,0.12040934959349595,-0.05217945665967387,0.3748508330062433,57.33908594988289,False,net yield 2.4% < 4.5%
"Virginia Beach, VA",VA,376903,1878,0.05979257262478675,0.025748923148842782,0.13045098509052183,-0.05025107685115722,0.4051966889864112,57.17961380564156,False,net yield 2.6% < 4.5%
"Cleveland, OH",OH,254986,1474,0.06936851434980744,0.024636916976844,0.19605436454093167,-0.051363083023155995,0.38769765741830425,53.113787432039516,False,net yield 2.5% < 4.5%
"Atlanta, GA",GA,381729,1854,0.05828218448166107,0.023378012826860032,0.1355474244875944,-0.05262198717313997,0.3678869728946806,52.38838285913027,False,net yield 2.3% < 4.5%
"Huntsville, AL",AL,330000,1550,0.056363636363636366,0.020368459174840106,0.06564516129032258,-0.05563154082515989,0.32052727679879767,50.79878795133349,False,net yield 2.0% < 4.5%
"Richmond, VA",VA,399039,1772,0.05328802447881034,0.021517551754874555,0.14637435101580135,-0.054482448245125444,0.33860991684076536,50.59980890489574,False,net yield 2.2% < 4.5%
"Las Vegas, NV",NV,427825,1748,0.049029392859229824,0.02179050744909819,0.10197964340198322,-0.05420949255090181,0.3429052709765508,50.17415714598113,False,net yield 2.2% < 4.5%
"New Orleans, LA",LA,264193,1617,0.07344630629880429,0.02276146647444654,0.07488463718820862,-0.05323853352555346,0.3581847209146468,50.07581193580464,False,net yield 2.3% < 4.5%
"Ponca City, OK",OK,110000,840,0.09163636363636364,0.02256905120508312,0.08621031746031747,-0.053430948794916874,0.35515678729560574,49.37327186232457,False,net yield 2.3% < 4.5%
"Akron, OH",OH,241000,1320,0.06572614107883817,0.02197831686597592,0.20691919191919192,-0.05402168313402408,0.3458607248197826,48.946929333277154,False,net yield 2.2% < 4.5%
"Washington, DC",DC,584571,2448,0.05025223625530517,0.02373148782582457,0.11143782679738562,-0.05226851217417543,0.3734494151914701,47.55467215717951,False,net yield 2.4% < 4.5%; eviction friction
"Rochester, NY",NY,250000,1420,0.06816,0.02545771949888761,0.19072769953051644,-0.05054228050111239,0.4006141767741327,46.975277685249644,False,net yield 2.5% < 4.5%; eviction friction
"Detroit, MI",MI,270689,1518,0.06729493994953618,0.021182294166493074,0.17683350351339483,-0.054817705833506924,0.333334151948211,46.46767329087233,False,net yield 2.1% < 4.5%
"Philadelphia, PA",PA,394620,1928,0.05862855405199939,0.02215885994336326,0.21491234439834025,-0.05384114005663674,0.34870183226159235,46.39773036795684,False,net yield 2.2% < 4.5%
"Baltimore, MD",MD,406745,1936,0.057116866833028065,0.021727659592592593,0.16107326101928374,-0.0542723404074074,0.34191626870959174,45.33723263865731,False,net yield 2.2% < 4.5%
"Cincinnati, OH",OH,312453,1583,0.060796343770103026,0.01954323136917517,0.22369766266582436,-0.05645676863082483,0.3075411191803973,44.87065518546839,False,net yield 2.0% < 4.5%
"St. Louis, MO",MO,280017,1459,0.06252477528150077,0.018204176388577846,0.14234357436600412,-0.05779582361142215,0.28646914497113085,44.82521230925441,False,net yield 1.8% < 4.5%
"Phoenix, AZ",AZ,445343,1733,0.04669659116680851,0.018770016346334933,0.10279122908251585,-0.057229983653665065,0.295373458213826,44.62883960693056,False,net yield 1.9% < 4.5%
"Nashville, TN",TN,456355,1810,0.0475945261912327,0.016405700659087693,0.1092562615101289,-0.0595942993409123,0.25816751827399326,43.544851622930985,False,net yield 1.6% < 4.5%
"Charlotte, NC",NC,389125,1750,0.05396723417924831,0.016510275934265614,0.12229642857142857,-0.059489724065734384,0.2598131620551718,43.19638680753869,False,net yield 1.7% < 4.5%
"Chicago, IL",IL,359897,2275,0.07585503630205309,0.022524458780102462,0.24784115750915753,-0.05347554121989753,0.3544550607476025,43.1611325099794,False,net yield 2.3% < 4.5%
"Pinehurst, NC (calibration)",NC,730000,2925,0.04808219178082192,0.015527286073780152,0.13726495726495727,-0.06047271392621985,0.24434438945938172,41.23909353578693,False,net yield 1.6% < 4.5%
"New York, NY",NY,736042,3573,0.05825211061325305,0.021502037056334956,0.22316787946636812,-0.054497962943665046,0.3383657705344313,40.156324913489186,False,net yield 2.2% < 4.5%; eviction friction
"Louisville, KY",KY,283500,1385,0.05862433862433863,0.014358933738118092,0.1262274368231047,-0.061641066261881906,0.2259586692005878,40.00948863607991,False,net yield 1.4% < 4.5%
"Tulsa, OK",OK,220000,1300,0.07090909090909091,0.01621481457828343,0.11141025641025643,-0.05978518542171657,0.2551636486570631,39.443403698567245,False,net yield 1.6% < 4.5%
"Salt Lake City, UT",UT,566343,1638,0.034706882578225566,0.013321296671174493,0.1383010989010989,-0.06267870332882551,0.20962994347234257,39.33517648521454,False,net yield 1.3% < 4.5%
"Kansas City, MO",MO,331552,1545,0.0559188302287424,0.014744209800329056,0.15915926645091694,-0.061255790199670944,0.23202154739752015,39.30055705075442,False,net yield 1.5% < 4.5%
"Riverside, CA",CA,584574,2539,0.05212000533721992,0.023333663789803116,0.1343054352107129,-0.05266633621019688,0.36718907640901705,38.623020244422314,False,net yield 2.3% < 4.5%; eviction friction
"Columbus, OH",OH,334559,1528,0.05480647658559477,0.015721904478847217,0.24814585514834203,-0.06027809552115278,0.24740699261731358,38.54544259074471,False,net yield 1.6% < 4.5%
"Buffalo, NY",NY,294112,1461,0.05960994451093461,0.020179301998943217,0.21808441706593656,-0.05582069800105678,0.31755061401067314,38.48223696566193,False,net yield 2.0% < 4.5%; eviction friction
"Boston, MA",MA,744972,3210,0.05170664132343229,0.01932144662845518,0.193398753894081,-0.056678553371544815,0.30405101428987524,38.21024142210394,False,net yield 1.9% < 4.5%; eviction friction
"Oklahoma City, OK",OK,247292,1393,0.06759620206072174,0.01507103676541019,0.11687047140464227,-0.06092896323458981,0.23716464419255265,37.62084412466712,False,net yield 1.5% < 4.5%
"Raleigh, NC",NC,436249,1689,0.04645970535176012,0.012045711878196743,0.1420585849615157,-0.06395428812180326,0.189556764813637,36.141306597305885,False,net yield 1.2% < 4.5%
"Sacramento, CA",CA,582799,2308,0.04752238764994449,0.02022603272891244,0.14729899624494514,-0.05577396727108756,0.3182859898921417,33.74121679926207,False,net yield 2.0% < 4.5%; eviction friction
"Milwaukee, WI",WI,393554,1552,0.047322603759585725,0.012523815242384542,0.27893646907216496,-0.06347618475761546,0.19708041537728657,32.858845027797244,False,net yield 1.3% < 4.5%
"Minneapolis-St. Paul, MN",MN,394234,1727,0.052567764322711895,0.013941014532491011,0.1902306504535804,-0.06205898546750899,0.2193821037494794,31.98447760170799,False,net yield 1.4% < 4.5%
"Seattle, WA",WA,742220,2269,0.03668454097167956,0.012574305898438385,0.20444579109739972,-0.06342569410156161,0.19787495915449646,30.764098323915363,False,net yield 1.3% < 4.5%
"Houston, TX",TX,307273,1648,0.06435970618960989,0.011894791851371149,0.2175274069579288,-0.06410520814862886,0.1871818190802571,29.307050293360916,False,net yield 1.2% < 4.5%
"Miami, FL",FL,476638,2695,0.06785023434975809,0.010521526238314146,0.1149590723562152,-0.06547847376168585,0.16557149090097556,28.77039528710481,False,net yield 1.1% < 4.5%
"Portland, OR",OR,551911,1805,0.03924545805392536,0.013472908002225836,0.20639331024930746,-0.06252709199777416,0.2120157678813757,25.708685412275383,False,net yield 1.3% < 4.5%; eviction friction
"San Diego, CA",CA,940304,2991,0.0381706341778829,0.014782835545754562,0.1833870500390059,-0.06121716445424544,0.2326293795800769,24.68335375275935,False,net yield 1.5% < 4.5%; eviction friction
"San Antonio, TX",TX,278941,1416,0.06091610770736464,0.008869558824302695,0.22982427024482108,-0.0671304411756973,0.13957538525408889,24.568085034000205,False,net yield 0.9% < 4.5%
"Tampa, FL",FL,359973,2020,0.06733838371211175,0.006895837125969983,0.11583289603960395,-0.06910416287403001,0.10851600880863183,23.618268988905093,False,net yield 0.7% < 4.5%
"Los Angeles, CA",CA,965867,2927,0.03636525525771146,0.013608716600133413,0.19249143036100674,-0.06239128339986658,0.21415291334139896,22.67931660006825,False,net yield 1.4% < 4.5%; eviction friction
"San Francisco, CA",CA,1144062,3301,0.03462399765047698,0.012699966412934144,0.20217191760072706,-0.06330003358706586,0.1998524097886718,21.028019115142435,False,net yield 1.3% < 4.5%; eviction friction
"Dallas-Fort Worth, TX",TX,365048,1673,0.05499550744011746,0.006762853294447668,0.2545662482566248,-0.06923714670555232,0.10642331514878102,20.652461351213248,False,net yield 0.7% < 4.5%
"Denver, CO",CO,571808,1930,0.040503105937657394,0.005724744676699738,0.12344732297063903,-0.07027525532330026,0.09008716888401477,19.175189449959166,False,net yield 0.6% < 4.5%
"Orlando, FL",FL,385766,1972,0.06134288662038645,0.0036944001028556767,0.127154107505071,-0.07230559989714432,0.05813674928520086,18.667650701521026,False,net yield 0.4% < 4.5%
"San Jose, CA",CA,1579943,3729,0.028322540749887812,0.008908642100389386,0.24715296773040138,-0.06709135789961061,0.1401904173458593,13.964000728163589,False,net yield 0.9% < 4.5%; eviction friction
"Jacksonville, FL",FL,352624,1708,0.058124234311901626,0.00042403076319488326,0.1341953161592506,-0.07557596923680511,0.006672739682423165,13.78254225315916,False,net yield 0.0% < 4.5%
"Austin, TX",TX,424110,1653,0.04677088491193322,0.0021816440662830124,0.2993315184513007,-0.07381835593371698,0.034331336774542205,12.481463482568593,False,net yield 0.2% < 4.5%
